Price,Datetime,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
174,2025-05-15 06:39:00+00:00,1426.800048828125,1427.4000244140625,1426.300048828125,1426.4000244140625,17304,2025-05-15 06:39:00+00:00,1422.5700134277345,1422.7520068359374
175,2025-05-15 06:40:00+00:00,1424.300048828125,1426.800048828125,1424.199951171875,1426.800048828125,19005,2025-05-15 06:40:00+00:00,1422.6600158691406,1422.7560083007813
176,2025-05-15 06:41:00+00:00,1423.0999755859375,1425.0,1423.0999755859375,1424.300048828125,13251,2025-05-15 06:41:00+00:00,1422.7150146484375,1422.7660083007813
177,2025-05-15 06:42:00+00:00,1423.4000244140625,1423.699951171875,1422.699951171875,1423.0,5519,2025-05-15 06:42:00+00:00,1422.8050170898437,1422.7940087890624
178,2025-05-15 06:43:00+00:00,1422.4000244140625,1423.699951171875,1422.0999755859375,1423.4000244140625,8285,2025-05-15 06:43:00+00:00,1422.84501953125,1422.8220092773438
179,2025-05-15 06:44:00+00:00,1423.0,1423.699951171875,1422.699951171875,1423.0,4152,2025-05-15 06:44:00+00:00,1422.9050170898438,1422.8560083007812
180,2025-05-15 06:45:00+00:00,1426.300048828125,1426.5,1423.0999755859375,1423.0999755859375,18265,2025-05-15 06:45:00+00:00,1423.075018310547,1422.9320092773437
181,2025-05-15 06:46:00+00:00,1427.5,1427.9000244140625,1426.0,1426.5999755859375,36578,2025-05-15 06:46:00+00:00,1423.3600158691406,1423.0020092773439
182,2025-05-15 06:47:00+00:00,1427.4000244140625,1428.9000244140625,1427.199951171875,1428.0,33353,2025-05-15 06:47:00+00:00,1423.6600158691406,1423.0640087890624
183,2025-05-15 06:48:00+00:00,1427.9000244140625,1428.300048828125,1427.0999755859375,1427.4000244140625,13316,2025-05-15 06:48:00+00:00,1423.9300170898437,1423.1320092773437
184,2025-05-15 06:49:00+00:00,1426.199951171875,1428.0,1426.0,1427.800048828125,8116,2025-05-15 06:49:00+00:00,1424.1750122070312,1423.1820092773437
185,2025-05-15 06:50:00+00:00,1423.300048828125,1426.199951171875,1423.300048828125,1426.199951171875,8427,2025-05-15 06:50:00+00:00,1424.2650146484375,1423.1880102539062
186,2025-05-15 06:51:00+00:00,1424.300048828125,1424.699951171875,1423.4000244140625,1423.5999755859375,8453,2025-05-15 06:51:00+00:00,1424.4000183105468,1423.2360107421875
187,2025-05-15 06:52:00+00:00,1424.699951171875,1424.800048828125,1424.0999755859375,1424.4000244140625,4947,2025-05-15 06:52:00+00:00,1424.5600158691407,1423.2960107421875
188,2025-05-15 06:53:00+00:00,1422.5999755859375,1424.800048828125,1422.5999755859375,1424.699951171875,22191,2025-05-15 06:53:00+00:00,1424.5950134277343,1423.2940112304686
189,2025-05-15 06:54:00+00:00,1423.199951171875,1423.199951171875,1422.0,1422.5999755859375,12614,2025-05-15 06:54:00+00:00,1424.6400085449218,1423.3320092773438
190,2025-05-15 06:55:00+00:00,1422.300048828125,1423.199951171875,1422.199951171875,1423.0999755859375,6809,2025-05-15 06:55:00+00:00,1424.635009765625,1423.3460107421874
191,2025-05-15 06:56:00+00:00,1422.800048828125,1423.300048828125,1422.0999755859375,1422.4000244140625,25852,2025-05-15 06:56:00+00:00,1424.6400146484375,1423.3680126953125
192,2025-05-15 06:57:00+00:00,1423.0,1423.5999755859375,1422.699951171875,1422.800048828125,16874,2025-05-15 06:57:00+00:00,1424.5450134277344,1423.38201171875
193,2025-05-15 06:58:00+00:00,1422.199951171875,1423.199951171875,1422.0,1423.0,16622,2025-05-15 06:58:00+00:00,1424.335009765625,1423.39201171875
194,2025-05-15 06:59:00+00:00,1422.199951171875,1422.699951171875,1421.800048828125,1422.199951171875,10088,2025-05-15 06:59:00+00:00,1424.1050048828124,1423.3960107421874
195,2025-05-15 07:00:00+00:00,1422.0999755859375,1422.0999755859375,1421.5999755859375,1422.0,12477,2025-05-15 07:00:00+00:00,1423.9950012207032,1423.4040112304688
196,2025-05-15 07:01:00+00:00,1421.5999755859375,1422.699951171875,1420.5999755859375,1422.0999755859375,45624,2025-05-15 07:01:00+00:00,1423.9200012207032,1423.3680102539063
197,2025-05-15 07:02:00+00:00,1421.5999755859375,1421.800048828125,1420.9000244140625,1421.699951171875,38296,2025-05-15 07:02:00+00:00,1423.8299987792968,1423.3240087890624
198,2025-05-15 07:03:00+00:00,1421.699951171875,1423.0,1421.5999755859375,1421.9000244140625,12916,2025-05-15 07:03:00+00:00,1423.7949951171875,1423.2920068359374
199,2025-05-15 07:04:00+00:00,1422.0999755859375,1422.5999755859375,1421.0999755859375,1421.5999755859375,10042,2025-05-15 07:04:00+00:00,1423.7499938964843,1423.2640063476563
200,2025-05-15 07:05:00+00:00,1421.4000244140625,1422.0999755859375,1421.0,1422.0999755859375,12606,2025-05-15 07:05:00+00:00,1423.5049926757813,1423.1920068359375
201,2025-05-15 07:06:00+00:00,1423.300048828125,1423.699951171875,1421.5999755859375,1421.5999755859375,5575,2025-05-15 07:06:00+00:00,1423.2949951171875,1423.1620068359375
202,2025-05-15 07:07:00+00:00,1425.199951171875,1425.199951171875,1422.800048828125,1423.0,37491,2025-05-15 07:07:00+00:00,1423.184991455078,1423.196005859375
