Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
91,2022-05-18,1167.3245849609375,1181.8796151149515,1153.4823688463575,1167.9224486134663,17276788,2022-05-18,1209.864208984375,1178.712490234375
92,2022-05-19,1140.421875,1155.4368291274488,1134.0756401859874,1142.3304164442968,14699118,2022-05-19,1204.3778991699219,1180.1316650390625
93,2022-05-20,1206.9197998046875,1216.094300186885,1150.608099999156,1155.4367459980117,21793091,2022-05-20,1200.7529296875,1183.6717822265625
94,2022-05-23,1198.84912109375,1220.302269784868,1192.4567846501986,1210.1619424277526,15252755,2022-05-23,1197.2601806640625,1187.0877392578125
95,2022-05-24,1202.9649658203125,1213.151151799158,1194.6182293801833,1198.895113772543,13527818,2022-05-24,1195.4402221679688,1189.4951879882813
96,2022-05-25,1201.1944580078125,1221.7508717440019,1196.3656902121909,1211.7715967059635,12714544,2022-05-25,1191.677294921875,1191.5163427734376
97,2022-05-26,1189.7435302734375,1211.7255712854176,1171.7623708301603,1206.8968036701792,17882023,2022-05-26,1187.279736328125,1193.2450146484375
98,2022-05-27,1184.2249755859375,1198.0442017124803,1168.1293668620885,1192.4797514659401,16521973,2022-05-27,1181.6520080566406,1194.6821264648438
99,2022-05-30,1225.475830078125,1229.7066124264522,1193.0086109822275,1202.5739426501805,13853398,2022-05-30,1178.7674377441406,1197.4537939453126
100,2022-05-31,1210.6907958984375,1231.91404310922,1202.8959433148916,1214.7146676149166,70620653,2022-05-31,1175.3689575195312,1199.5627807617188
101,2022-06-01,1211.081787109375,1221.0610622658567,1203.12588209335,1211.4496283565038,9776989,2022-06-01,1173.985888671875,1200.9589624023438
102,2022-06-02,1252.8385009765625,1256.5864920107051,1211.3117285776616,1211.3117285776616,22126569,2022-06-02,1175.9035766601562,1203.3218041992188
103,2022-06-03,1278.2235107421875,1295.6297973677094,1260.978154661234,1261.8980010543,23939791,2022-06-03,1179.556134033203,1205.6060034179689
104,2022-06-06,1272.72802734375,1294.0892154974747,1265.484936450837,1278.4535298248738,11093152,2022-06-06,1185.2873291015626,1207.7062548828126
105,2022-06-07,1275.119384765625,1283.558081502988,1265.6000327133784,1273.808707028359,12358255,2022-06-07,1192.1417724609375,1209.4914916992188
106,2022-06-08,1252.7235107421875,1278.9133453501984,1249.1594404511366,1275.1193742792811,12479250,2022-06-08,1198.4593139648437,1210.6706127929688
107,2022-06-09,1287.076171875,1289.0305718015015,1246.2622145127568,1246.2622145127568,17278305,2022-06-09,1207.6418762207031,1212.2967309570313
108,2022-06-10,1248.2166748046875,1283.006256851092,1242.3532320317697,1274.7284910659785,18093057,2022-06-10,1214.256036376953,1213.1401416015624
109,2022-06-13,1224.60205078125,1229.1548161695573,1203.1718916744203,1218.6697590418473,17620803,2022-06-13,1219.6756652832032,1213.047705078125
110,2022-06-14,1208.598388671875,1228.717991446475,1201.8612009759945,1218.6927359968781,14714312,2022-06-14,1221.9508972167969,1212.98654296875
111,2022-06-15,1193.974365234375,1212.8292700682218,1188.5018752271499,1203.7467296390173,11195535,2022-06-15,1223.2833862304688,1212.4388305664063
112,2022-06-16,1177.2808837890625,1222.8315260596644,1174.5215879080515,1206.2530039771887,17111475,2022-06-16,1225.1263366699218,1211.485048828125
113,2022-06-17,1191.0771484375,1207.1037873994646,1175.4874426020544,1177.2809119832891,24457187,2022-06-17,1224.3342041015626,1211.1534790039063
114,2022-06-20,1169.486083984375,1203.539864359609,1159.391736468573,1197.9752921904474,12066797,2022-06-20,1222.8660522460937,1210.4544702148437
115,2022-06-21,1188.3638916015625,1192.640654125207,1162.7028298972193,1177.2808498820364,11720049,2022-06-21,1222.1359985351562,1210.5579418945313
116,2022-06-22,1152.263671875,1176.49910636382,1150.148219796606,1176.4071460526668,10617206,2022-06-22,1219.6894592285157,1209.5457543945313
117,2022-06-23,1133.5697021484375,1161.1852863856352,1124.3952013867531,1156.609531043733,19446323,2022-06-23,1216.8807678222656,1208.209814453125
118,2022-06-24,1149.71142578125,1154.7469827371124,1134.9723528826125,1140.4909447606126,14240234,2022-06-24,1215.1550903320312,1207.6487670898437
119,2022-06-27,1146.3082275390625,1170.3597405439875,1141.2035789685574,1170.3597405439875,15474529,2022-06-27,1211.196710205078,1207.10611328125
120,2022-06-28,1162.4268798828125,1165.3011261992506,1141.456644421205,1141.456644421205,13572847,2022-06-28,1208.783514404297,1206.9575732421874
121,2022-06-29,1186.54736328125,1194.2963576184943,1150.1482310367235,1152.9994872728314,19205146,2022-06-29,1207.5567932128906,1206.3997436523437
122,2022-06-30,1193.675537109375,1202.9879786514314,1180.040230936761,1186.4784260846634,23112959,2022-06-30,1204.5986450195312,1205.27029296875
123,2022-07-01,1107.7017822265625,1191.996913913975,1087.6052905328884,1184.1330904930817,81997149,2022-07-01,1196.07255859375,1201.8359448242188
124,2022-07-04,1110.0010986328125,1123.0155505704386,1088.111016968566,1094.0204400937057,41857728,2022-07-04,1187.936212158203,1198.661884765625
125,2022-07-05,1118.99169921875,1133.546729917932,1111.564687540272,1114.2780033353508,17647327,2022-07-05,1180.1298278808595,1196.2544360351562
126,2022-07-06,1109.150390625,1122.9926075853007,1098.1824200754252,1112.944361827782,23943726,2022-07-06,1172.951171875,1192.9083837890626
127,2022-07-07,1098.2283935546875,1118.991718868877,1092.204019824442,1115.61169074542,23301033,2022-07-07,1163.5087829589843,1189.3190576171876
128,2022-07-08,1099.7459716796875,1111.9786396542556,1095.6759979538901,1111.9786396542556,19010108,2022-07-08,1156.0852478027343,1185.3783862304688
